#,Time,Latitude,Longitude,Lap Lenght,Garmin Lap Lenght,Distance,Garmin Distance,Garmin Lap Delta,Garmin Total Delta
1,1358674108,45.660078,9.263239,0.002549,0.001750,0.002549,0.001750,-31.337200,-31.337200
2,1358674110,45.660018,9.263300,0.008216,0.008320,0.010765,0.010070,1.262408,-6.455798
3,1358674114,45.659866,9.263309,0.016894,0.017090,0.027659,0.027160,1.162839,-1.802408
4,1358674117,45.659819,9.263330,0.005450,0.004890,0.033109,0.032050,-10.279605,-3.197898
5,1358674118,45.659790,9.263333,0.003300,0.003230,0.036409,0.035280,-2.126426,-3.100778
6,1358674119,45.659775,9.263353,0.002245,0.001930,0.038654,0.037210,-14.027908,-3.735397
7,1358674123,45.659736,9.263515,0.013301,0.011710,0.051955,0.048920,-11.962693,-5.841693
8,1358674128,45.659631,9.263595,0.013251,0.014070,0.065206,0.062990,6.181051,-3.398470
9,1358674130,45.659602,9.263669,0.006549,0.006400,0.071755,0.069390,-2.269149,-3.295404
10,1358674131,45.659594,9.263693,0.002039,0.002030,0.073793,0.071420,-0.423366,-3.216060
11,1358674132,45.659585,9.263715,0.001976,0.001960,0.075769,0.073380,-0.785353,-3.152684
12,1358674133,45.659595,9.263764,0.003995,0.003850,0.079764,0.077230,-3.636711,-3.176929
13,1358674137,45.659721,9.263921,0.018574,0.018420,0.098338,0.095650,-0.827424,-2.733163
14,1358674138,45.659760,9.263957,0.005116,0.005100,0.103454,0.100750,-0.310961,-2.613382
15,1358674139,45.659773,9.263969,0.001756,0.001700,0.105209,0.102450,-3.181395,-2.622862
16,1358674140,45.659799,9.263996,0.003527,0.003330,0.108737,0.105780,-5.586521,-2.718993
17,1358674141,45.659815,9.264034,0.003512,0.003520,0.112249,0.109300,0.214599,-2.627195
18,1358674146,45.659841,9.264144,0.009010,0.009560,0.121259,0.118860,6.108228,-1.978143
19,1358674147,45.659875,9.264178,0.004581,0.004580,0.125840,0.123440,-0.025992,-1.907075
20,1358674151,45.659943,9.264277,0.010840,0.010900,0.136680,0.134340,0.555287,-1.711790
21,1358674155,45.659993,9.264380,0.009670,0.009730,0.146350,0.144070,0.619466,-1.557751
22,1358674156,45.660026,9.264443,0.006165,0.006160,0.152515,0.150230,-0.080603,-1.498042
23,1358674157,45.660048,9.264478,0.003655,0.003650,0.156170,0.153880,-0.139969,-1.466256
24,1358674161,45.659987,9.264393,0.009421,0.003160,0.165591,0.157040,-66.457885,-5.163825
